R	53.2951	-6.13498	E934	20 May 2024	E934\n16:35 - Bray to Howth (0 mins late)\nArrived Dun Laoghaire next stop Salthill and Monkstown	Northbound
R	53.2954	-6.15206	A608	20 May 2024	A608\n16:33 - Dublin Connolly to Rosslare Europort (0 mins late)\nDeparted Salthill and Monkstown next stop Dun Laoghaire	Southbound
R	53.3099	-6.19498	E832	20 May 2024	E832\n16:25 - Bray to Malahide (1 mins late)\nDeparted Booterstown next stop Sydney Parade	Northbound
R	53.3206	-6.21112	E242	20 May 2024	E242\n16:10 - Malahide to Bray (2 mins late)\nDeparted Sydney Parade next stop Booterstown	Southbound
R	53.3223	-6.52356	A514	20 May 2024	A514\n16:40 - Dublin Heuston to Waterford (-1 mins late)\nArrived Hazelhatch next stop Sallins	To Waterford
R	53.3334	-6.40628	A225	20 May 2024	A225\n17:25 - Cork to Dublin Heuston (-1 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A229	20 May 2024	A229\n19:25 - Cork to Dublin Heuston (5 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	A219	20 May 2024	A219\n14:25 - Cork to Dublin Heuston (5 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P414	20 May 2024	P414\n16:37 - Hazelhatch to Grand Canal Dock (1 mins late)\nDeparted Park West and Cherry Orchard next stop Drumcondra	Northbound
R	53.3345	-6.43038	A227	20 May 2024	A227\n18:25 - Cork to Dublin Heuston (-5 mins late)\nDeparted Kishogue next stop Dublin Heuston	To Dublin Heuston
R	53.3347	-6.22979	E243	20 May 2024	E243\n16:20 - Howth to Bray (-1 mins late)\nDeparted Lansdowne Road next stop Sandymount	Southbound
R	53.3353	-6.45233	A517	20 May 2024	A517\n14:50 - Waterford to Dublin Heuston (0 mins late)\nDeparted Adamstown next stop Dublin Heuston	To Dublin Heuston
R	53.3395	-7.61596	A708	20 May 2024	A708\n15:35 - Dublin Heuston to Galway (4 mins late)\nDeparted Clara next stop Athlone	To Galway
R	53.3395	-7.61596	A715	20 May 2024	A715\n15:05 - Galway to Dublin Heuston (24 mins late)\nArrived Clara next stop Tullamore	To Dublin Heuston
R	53.3397	-6.23773	E933	20 May 2024	E933\n16:04 - Greystones to Howth (0 mins late)\nDeparted Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.3531	-6.24591	E831	20 May 2024	E831\n16:05 - Bray to Malahide (2 mins late)\nArrived Dublin Connolly next stop Clontarf Road	Northbound
R	53.3629	-6.22753	E122	20 May 2024	E122\n16:34 - Malahide to Greystones (1 mins late)\nArrived Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	D924	20 May 2024	D924\n16:41 - Dublin Pearse to Maynooth (1 mins late)\nDeparted Drumcondra next stop Broombridge	Northbound
R	53.3632	-6.25908	P413	20 May 2024	P413\n15:53 - Hazelhatch to Dublin Connolly (39 mins late)\nDeparted Drumcondra next stop Dublin Connolly	Northbound
R	53.3704	-6.50598	D923	20 May 2024	D923\n16:12 - Dublin Pearse to Maynooth (0 mins late)\nArrived Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3725	-6.29869	P670	20 May 2024	P670\n16:09 - Maynooth to Dublin Pearse (10 mins late)\nDeparted Broombridge next stop Drumcondra	Southbound
